id,name,host_name,host_location,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_cleaned
1172064149243230997,Wonderful and cozy Chicago Top unit Apartment,Oswaldo,"Chicago, IL",within a few hours,False,,Austin,41.8992459440175,-87.75492863350294,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$129.00,1,23,2,4.7,False,129.0
1172448479967202493,Modern Apt in Trendy Neighborhood w/ Free Parking,David,"Chicago, IL",within an hour,True,,Avondale,41.9443229,-87.7239978,Entire rental unit,Todo o espaço,5,1.0,1.0,2.0,$117.00,1,84,5,4.95,True,117.0
1172589678633917646,Wrigleyville Suites Room 3,Villa,"Chicago, IL",within an hour,False,,Lake View,41.95035,-87.65819,Private room in bed and breakfast,Quarto privativo,2,1.0,1.0,0.0,$93.00,1,15,3,4.6,False,93.0
1172611872037083836,Wrigleyville Suites Room 2,Villa,"Chicago, IL",within an hour,False,,Lake View,41.94863862619235,-87.65806163511259,Private room in bed and breakfast,Quarto privativo,2,1.0,1.0,0.0,$93.00,1,29,1,4.76,False,93.0
1172716975655760218,Three Bed Spacious Comfy Apt by Midway Airport,Maria,"Burbank, IL",within an hour,False,Neighborhood highlights,Clearing,41.77716,-87.76376,Entire rental unit,Todo o espaço,6,2.0,3.0,3.0,$80.00,32,1,0,3.0,True,80.0
1173128839491656214,Oversized window with iconic Chicago views,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,1,0,5.0,False,
1173128839560185588,Comfy queen bed & accessible tub,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173128928586133886,Art by Angela Finney & Sarah Leutchner,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.62596,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173128933465005249,Ideal Loop location & accessible features,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129013058778781,"Spacious living area, sleeps 4",L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129017250307023,Comfy king room overlooking the river,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129093095086473,"Window seats & river views, sleeps 4",L Chicago By LOTTE,,,False,,Loop,41.88645,-87.62596,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129095316066344,An easy walk to the Art Institute & The Bean,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129173295495682,Roll-in shower & 2 queen beds,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129203015658018,Accessible shower & luxe Frette linens,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.625961,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173129280343824366,Chicago River views from your window,L Chicago By LOTTE,,,False,,Loop,41.88645,-87.62596,Room in hotel,Quarto privativo,2,,1.0,,,1,0,0,,False,
1173174489449142817,Easy Downtown Access from Cozy Pilsen Nest,Roberto,"Chicago, IL",within an hour,False,,Lower West Side,41.856277736817695,-87.68443239591241,Entire rental unit,Todo o espaço,6,2.0,2.0,2.0,$92.00,2,36,4,4.92,False,92.0
1173542396433869048,Vintage Arcade Apt with Games & On Site Parking,Freddy,,within an hour,False,Neighborhood highlights,North Lawndale,41.84831,-87.73419,Entire rental unit,Todo o espaço,6,1.0,1.0,3.0,$63.00,1,46,1,4.5,False,63.0
1173569964400985712,Prime Location Available Now!,Paul,"Chicago, IL",within an hour,False,,Near North Side,41.90183676627954,-87.634259176903,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$150.00,32,1,0,5.0,False,150.0
1173573439286859936,Gold Cost Available NOW Summer+,Paul,"Chicago, IL",within an hour,False,,Near North Side,41.903118845550615,-87.6327795368991,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$97.00,32,1,0,4.0,False,97.0
1173575314537703662,GREAT  Location Available NOW Gold Cost w/Laundry,Paul,"Chicago, IL",within an hour,False,,Near North Side,41.90277410874015,-87.63249761702843,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$128.00,32,0,0,,False,128.0
1173682747622945664,3BR Luxury Modern Apartment,Anthony,"Chicago, IL",within an hour,False,Neighborhood highlights,Near North Side,41.89622,-87.63918,Entire rental unit,Todo o espaço,8,2.5,3.0,3.0,$426.00,3,33,0,4.76,True,426.0
1174520468535136028,Best Pilsen Location*Monthly Stays*Laundry*Stylish,Samantha Marie,"Chicago, IL",within an hour,True,,Lower West Side,41.857199188948734,-87.651153579943,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$206.00,32,4,0,5.0,False,206.0
1174749677990231644,Chicago The Windy City,Estuardo,"Florida City, FL",within an hour,False,,West Ridge,41.989787712676325,-87.69612154357498,Entire rental unit,Todo o espaço,5,1.0,0.0,2.0,$193.00,1,2,0,5.0,True,193.0
1174773266549010994,Hidden Uptown Gem,Alicia,,within an hour,False,,Uptown,41.96713498654895,-87.6576108112775,Entire home,Todo o espaço,5,1.5,2.0,3.0,$232.00,2,13,3,4.62,False,232.0
1174791271548424017,Cozy and Private Home,Yasmin,"Chicago, IL",within a few hours,False,Neighborhood highlights,Englewood,41.78350935688125,-87.65169734965174,Entire guesthouse,Todo o espaço,3,1.0,2.0,2.0,$76.00,1,10,0,4.3,False,76.0
1174809514017559735,Pine Beam Elephant Studio next to Blue Line,Andris,"Chicago, IL",within an hour,True,Neighborhood highlights,Irving Park,41.95293909999999,-87.7277433,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$66.00,32,3,0,5.0,True,66.0
1175331937939237329,Chicago Lovely City,Estuardo,"Florida City, FL",within an hour,False,,West Ridge,41.9902115,-87.69510919999999,Entire rental unit,Todo o espaço,5,0.0,0.0,3.0,$174.00,1,1,0,2.0,True,174.0
1175385059300754589,Gold Cost Available NOW cozy great location WIFI,Paul,"Chicago, IL",within an hour,False,,Near North Side,41.901753235290485,-87.63243774052172,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$121.00,32,0,0,,False,121.0
1175455652908205361,Planta Queen,Jonathan,"Miami, FL",within an hour,False,,West Ridge,41.99462644653763,-87.70612578792525,Entire home,Todo o espaço,4,1.5,1.0,1.0,$123.00,2,15,0,4.93,True,123.0
1175468107964404574,Andersonville Charming Greystone Studio,Cindy,"Chicago, IL",within an hour,False,,Uptown,41.97542680720517,-87.66428228387076,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$155.00,8,8,2,5.0,False,155.0
1175645487617354671,Lincoln Park 2 Bedroom 2 Bath,Alexander,"Chicago, IL",within an hour,False,,Lincoln Park,41.93068,-87.64164,Entire rental unit,Todo o espaço,4,2.0,2.0,2.0,$135.00,2,5,0,4.6,False,135.0
1175799470850394421,Peaceful Oasis - Captivating Six-Bedroom Escape,Beata,"Chicago, IL",within an hour,True,Neighborhood highlights,Belmont Cragin,41.9268,-87.76008,Entire rental unit,Todo o espaço,14,3.0,6.0,9.0,$418.00,1,1,0,5.0,False,418.0
1176034585835911731,King Room Near Luxbar CHI,LuxurybookingsFZE,"Dubai, United Arab Emirates",within an hour,False,Neighborhood highlights,Near North Side,41.90018181125725,-87.62724599678239,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$588.00,32,0,0,,False,588.0
1176138282272676075,Downtown Gold Cost Awesome Views TOP FLOOR Laundry,Paul,"Chicago, IL",within an hour,False,,Near North Side,41.90227405605965,-87.63427315423085,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$120.00,32,0,0,,False,120.0
1176353461992593693,"Cozy Stay, Home Away",Rifet,"Chicago, IL",within an hour,False,,Rogers Park,42.01935708335374,-87.68034436556944,Private room in rental unit,Quarto privativo,2,1.0,1.0,2.0,$90.00,1,8,2,5.0,False,90.0
1176425778789011217,Blake’s Place,Blake,"Chicago, IL",within an hour,True,,Grand Boulevard,41.8201076,-87.6123453,Entire rental unit,Todo o espaço,4,1.0,2.0,3.0,$179.00,2,23,4,5.0,False,179.0
1176785265840612006,Cozy Chinatown Apartment w free parking spot!,James,"Chicago, IL",within an hour,True,,Armour Square,41.85163,-87.63702,Entire rental unit,Todo o espaço,6,1.5,3.0,3.0,$191.00,2,33,2,4.85,False,191.0
1176815219482768355,Lovely Lakeview 2 Bedroom,John,"Chicago, IL",within a few hours,True,Neighborhood highlights,Lake View,41.93591,-87.66479,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$229.00,2,30,0,4.93,False,229.0
1176914790334121908,1 Bed 1 Bath Next To Lake,Andrew,"Chicago, IL",within a few hours,True,,Loop,41.88678,-87.62054,Entire rental unit,Todo o espaço,4,1.0,1.0,1.0,$176.00,32,1,0,5.0,False,176.0
1176970413584165207,Vintage Chicago Speakeasy-2bed/2bath Designer Apt.,Beniamin,"Illinois, United States",within an hour,True,,Logan Square,41.91934,-87.7154,Entire rental unit,Todo o espaço,4,2.0,2.0,2.0,$176.00,32,0,0,,False,176.0
1177042184948176660,"The Millenium Club, Premium apt in Albany Park",James,"Chicago, IL",,False,,Albany Park,41.96113703124188,-87.7124603892426,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$237.00,1,0,0,,False,237.0
1177054120411485934,Modern Single-Family Home w/outdoor space + garage,Jared,"Chicago, IL",within an hour,True,,West Town,41.89507770730137,-87.65758062571695,Entire home,Todo o espaço,10,2.5,3.0,6.0,$384.00,2,29,2,4.93,True,384.0
1177199560937607158,The Suite Spot | Eclectic • Modern • Sleeps 6,Alexander,"Chicago, IL",within an hour,True,,Lower West Side,41.85858418180203,-87.64603167772293,Entire condo,Todo o espaço,6,2.0,3.0,3.0,$287.00,32,1,0,5.0,False,287.0
1177486460390656602,South Loop Studio Hotel(205),Guili,,,True,,Loop,41.87298,-87.62718,Entire rental unit,Todo o espaço,2,1.0,0.0,1.0,$122.00,1,49,4,4.67,True,122.0
1177590252386086506,King Room Near Magnifico CHI,LuxurybookingsFZE,"Dubai, United Arab Emirates",within an hour,False,,Near North Side,41.89058564019805,-87.63035257550325,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$456.00,32,0,0,,False,456.0
